"type","size","time","Gflops"
"float",2000,"0,030538","523,939809"
"float",2000,"0,027944","572,571936"
"float",2000,"0,029759","537,656847"
"float",2000,"0,029407","544,096672"
"float",2000,"0,028435","562,681863"
"float",2000,"0,028984","552,033943"
"float",2000,"0,029167","548,572382"
"float",2000,"0,029023","551,27899"
"float",2000,"0,029883","535,419291"
"float",2000,"0,02832","564,973447"
"float",3000,"0,048373","1116,326423"
"float",3000,"0,050159","1076,580887"
"float",3000,"0,049355","1094,115113"
"float",3000,"0,052151","1035,454479"
"float",3000,"0,054127","997,654864"
"float",3000,"0,052185","1034,785701"
"float",3000,"0,048796","1106,638447"
"float",3000,"0,053171","1015,591034"
"float",3000,"0,054563","989,689434"
"float",3000,"0,051176","1055,183065"
"float",4000,"0,082177","1557,611833"
"float",4000,"0,078594","1628,628086"
"float",4000,"0,07459","1716,048763"
"float",4000,"0,07691","1664,278579"
"float",4000,"0,082188","1557,396485"
"float",4000,"0,079716","1605,694656"
"float",4000,"0,07679","1666,87559"
"float",4000,"0,076305","1677,48153"
"float",4000,"0,074798","1711,269114"
"float",4000,"0,075989","1684,464082"
"float",5000,"0,119319","2095,222025"
"float",5000,"0,120218","2079,560231"
"float",5000,"0,118368","2112,054743"
"float",5000,"0,121667","2054,785091"
"float",5000,"0,122886","2034,407826"
"float",5000,"0,126866","1970,590078"
"float",5000,"0,120341","2077,437531"
"float",5000,"0,124848","2002,44019"
"float",5000,"0,121268","2061,550221"
"float",5000,"0,117631","2125,293824"
"float",6000,"0,176973","2441,051999"
"float",6000,"0,180466","2393,808096"
"float",6000,"0,177075","2439,650432"
"float",6000,"0,163536","2641,618869"
"float",6000,"0,171348","2521,192181"
"float",6000,"0,175977","2454,87032"
"float",6000,"0,166048","2601,649769"
"float",6000,"0,177183","2438,163324"
"float",6000,"0,172939","2497,991661"
"float",6000,"0,153774","2809,311505"
"float",7000,"0,266807","2571,145363"
"float",7000,"0,26026","2635,823768"
"float",7000,"0,257024","2669,007944"
"float",7000,"0,268448","2555,429491"
"float",7000,"0,275927","2486,165206"
"float",7000,"0,264084","2597,661764"
"float",7000,"0,283794","2417,247905"
"float",7000,"0,266783","2571,374901"
"float",7000,"0,261581","2622,515785"
"float",7000,"0,280598","2444,780951"
"float",8000,"0,447161","2290,001829"
"float",8000,"0,44209","2316,272077"
"float",8000,"0,468773","2184,425452"
"float",8000,"0,480093","2132,918534"
"float",8000,"0,440661","2323,781072"
"float",8000,"0,477845","2142,956018"
"float",8000,"0,42738","2395,99593"
"float",8000,"0,440598","2324,115137"
"float",8000,"0,437623","2339,912996"
"float",8000,"0,446272","2294,565141"
"float",9000,"0,840261","1735,175119"
"float",9000,"0,83266","1751,014475"
"float",9000,"0,829111","1758,509866"
"float",9000,"0,8453","1724,831894"
"float",9000,"0,831485","1753,488547"
"float",9000,"0,839973","1735,770597"
"float",9000,"0,817954","1782,496941"
"float",9000,"0,826913","1763,18345"
"float",9000,"0,816898","1784,801029"
"float",9000,"0,845484","1724,455388"
"float",10000,"1,379145","1450,173732"
"float",10000,"1,393159","1435,586772"
"float",10000,"1,352046","1479,239523"
"float",10000,"1,330194","1503,540382"
"float",10000,"1,337933","1494,843718"
"float",10000,"1,300549","1537,812078"
"float",10000,"1,322097","1512,748537"
"float",10000,"1,375173","1454,36297"
"float",10000,"1,403391","1425,119815"
"float",10000,"1,365336","1464,841166"
"float",11000,"2,200205","1209,886986"
"float",11000,"2,117057","1257,405643"
"float",11000,"2,160428","1232,163175"
"float",11000,"2,126156","1252,024791"
"float",11000,"2,110251","1261,461314"
"float",11000,"2,124862","1252,787338"
"float",11000,"2,154973","1235,282049"
"float",11000,"2,207914","1205,662931"
"float",11000,"2,232995","1192,120631"
"float",11000,"2,175444","1223,65852"
"float",12000,"2,773124","1246,247797"
"float",12000,"2,997664","1152,89782"
"float",12000,"2,834305","1219,346632"
"float",12000,"3,058216","1130,070768"
"float",12000,"2,875607","1201,833353"
"float",12000,"2,948947","1171,943555"
"float",12000,"2,736638","1262,863345"
"float",12000,"2,787879","1239,652208"
"float",12000,"2,933596","1178,076507"
"float",12000,"2,885889","1197,551135"
"float",13000,"3,560819","1233,985608"
"float",13000,"3,661682","1199,994841"
"float",13000,"3,527423","1245,668717"
"float",13000,"3,624621","1212,264616"
"float",13000,"3,57155","1230,278254"
"float",13000,"3,667399","1198,124346"
"float",13000,"3,584489","1225,837106"
"float",13000,"3,645581","1205,294909"
"float",13000,"3,58206","1226,668533"
"float",13000,"3,585328","1225,550419"
"float",14000,"4,395509","1248,547195"
"float",14000,"4,263104","1287,325013"
"float",14000,"4,434631","1237,53261"
"float",14000,"4,446187","1234,316097"
"float",14000,"4,433005","1237,986292"
"float",14000,"4,395626","1248,513791"
"float",14000,"4,422226","1241,004058"
"float",14000,"4,463268","1229,592294"
"float",14000,"4,471161","1227,421586"
"float",14000,"4,369022","1256,116223"
"float",15000,"5,411783","1247,278478"
"float",15000,"5,371325","1256,673066"
"float",15000,"5,359265","1259,501055"
"float",15000,"5,357974","1259,804589"
"float",15000,"5,393649","1251,471956"
"float",15000,"5,36328","1258,5583"
"float",15000,"5,342507","1263,451708"
"float",15000,"5,359277","1259,498242"
"float",15000,"5,34738","1262,300316"
"float",15000,"5,380267","1254,584576"
"float",16000,"6,408448","1278,312631"
"float",16000,"6,434912","1273,055503"
"float",16000,"6,437189","1272,60514"
"float",16000,"6,423808","1275,25608"
"float",16000,"6,443645","1271,330109"
"float",16000,"6,397444","1280,511475"
"float",16000,"6,414398","1277,126888"
"float",16000,"6,402821","1279,435988"
"float",16000,"6,443649","1271,329421"
"float",16000,"6,419682","1276,075719"
"float",17000,"7,665981","1281,766747"
"float",17000,"7,761093","1266,058827"
"float",17000,"7,673713","1280,475305"
"float",17000,"7,672657","1280,651457"
"float",17000,"7,676974","1279,931459"
"float",17000,"7,699072","1276,257789"
"float",17000,"7,684349","1278,702923"
"float",17000,"7,6451","1285,267669"
"float",17000,"7,653169","1283,912573"
"float",17000,"7,661289","1282,551752"
"float",18000,"7,756756","1503,721325"
"float",18000,"7,736047","1507,746772"
"float",18000,"7,715555","1511,75118"
"float",18000,"7,783068","1498,637861"
"float",18000,"7,748077","1505,405702"
"float",18000,"7,78512","1498,242888"
"float",18000,"7,788691","1497,555867"
"float",18000,"7,773545","1500,473711"
"float",18000,"7,796869","1495,985127"
"float",18000,"7,733293","1508,28377"
"float",19000,"9,357592","1465,975412"
"float",19000,"9,4322","1454,379678"
"float",19000,"9,402546","1458,966523"
"float",19000,"9,437809","1453,515394"
"float",19000,"9,459698","1450,152034"
"float",19000,"10,270746","1335,638127"
"float",19000,"9,483365","1446,532909"
"float",19000,"9,432623","1454,314496"
"float",19000,"10,439372","1314,063769"
"float",19000,"9,463044","1449,639282"
"float",20000,"9,193838","1740,295984"
"float",20000,"9,043103","1769,304105"
"float",20000,"9,067466","1764,550237"
"float",20000,"9,030626","1771,748631"
"float",20000,"9,055145","1766,951346"
"float",20000,"9,088705","1760,426894"
"float",20000,"9,127998","1752,848698"
"float",20000,"9,118899","1754,597774"
"float",20000,"9,10361","1757,544546"
"float",20000,"9,026918","1772,476464"
